Player,Team,actual_Rank,actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_LG(Recieving),actual_20+(Recieving),actual_TD(Recieving),actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_FL,projections_FPTS,ADP
Brandon Aiyuk,SF,103.0,25.0,47.0,374,15.0,53.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,37.4,5.3,61.8,75.2,1130.7,7.2,0.8,4.0,0.0,0.9,155.2,34.5
Kendrick Bourne,NE,104.0,28.0,38.0,305,10.9,37.0,2.0,1.0,1.0,6.0,0.0,0.0,12.0,37.1,3.1,5.4,39.1,471.3,3.1,2.8,17.1,0.0,0.5,66.8,292.5
Mike Williams,LAC,105.0,21.0,34.0,298,14.2,32.0,6.0,1.0,0.0,0.0,0.0,0.0,18.0,35.8,2.0,35.8,56.1,752.6,4.9,2.3,9.2,0.0,0.5,104.6,144.0
JuJu Smith-Schuster,KC,107.0,18.0,26.0,231,12.8,50.0,3.0,2.0,0.0,0.0,0.0,0.0,14.0,35.1,2.5,3.7,21.2,223.8,1.6,0.3,1.0,0.0,0.0,31.9,0.0
Tyler Johnson,NYJ,108.0,26.0,41.0,291,11.2,63.0,4.0,1.0,0.0,0.0,0.0,0.0,15.0,35.1,2.3,0.6,2.1,25.2,0.2,0.0,0.0,0.0,0.0,3.8,0.0
Gabe Davis,JAC,109.0,20.0,42.0,239,12.0,22.0,6.0,2.0,0.0,0.0,0.0,1.0,10.0,33.9,3.4,31.2,50.0,739.2,5.5,0.3,1.3,0.0,0.9,105.1,151.5
Curtis Samuel,BUF,111.0,31.0,46.0,253,8.2,38.0,2.0,1.0,5.0,14.0,0.0,0.0,14.0,32.7,2.3,19.9,61.0,663.1,4.6,11.3,66.7,1.0,0.5,105.5,123.5
John Metchie III,HOU,112.0,24.0,37.0,254,10.6,28.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,31.4,2.4,5.2,19.2,232.7,1.5,0.0,5.3,0.0,0.1,32.7,0.0
Adonai Mitchell,IND,114.0,23.0,55.0,312,13.6,36.0,4.0,0.0,4.0,6.0,0.0,1.0,17.0,30.8,1.8,38.3,48.6,657.2,3.8,0.7,4.8,0.0,0.8,87.3,147.5
Jordan Whittington,LAR,115.0,22.0,28.0,293,13.3,50.0,4.0,0.0,2.0,12.0,0.0,0.0,15.0,30.5,2.0,32.1,10.8,129.6,0.9,0.0,0.0,0.0,0.0,18.2,284.0
