Player,Team,actual_Rank,actual_ATT(Rushing),actual_YDS(Rushing),actual_Y/A(Rushing),actual_LG(Rushing),actual_20+(Rushing),actual_TD(Rushing),actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_TD(Recieving),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_FL,projections_FPTS,ADP
Tony Pollard,TEN,22.0,260.0,1079,4.2,41.0,6.0,5.0,41.0,57.0,238.0,5.8,0.0,2.0,16.0,159.7,10.0,63.7,197.5,846.1,5.7,34.2,236.7,0.9,0.9,145.8,79.0
Rico Dowdle,CAR,23.0,235.0,1079,4.6,27.0,2.0,2.0,39.0,49.0,249.0,6.4,3.0,2.0,16.0,158.8,9.9,32.1,140.0,545.3,3.6,23.6,181.0,1.2,0.4,100.6,128.5
Rachaad White,TB,24.0,144.0,613,4.3,56.0,2.0,3.0,51.0,57.0,393.0,7.7,6.0,3.0,16.0,148.6,9.3,59.0,235.2,913.9,6.5,52.6,395.9,2.4,1.7,181.2,34.0
Zach Charbonnet,SEA,25.0,135.0,569,4.2,51.0,3.0,8.0,42.0,52.0,340.0,8.1,1.0,0.0,17.0,144.9,8.5,57.2,117.5,486.4,2.9,31.8,213.1,0.8,0.8,90.5,128.0
Tyrone Tracy Jr.,NYG,26.0,192.0,839,4.4,45.0,6.0,5.0,38.0,53.0,284.0,7.5,1.0,2.0,17.0,144.3,8.5,64.5,102.4,396.4,2.5,16.3,119.5,0.8,1.1,69.2,179.0
Rhamondre Stevenson,NE,27.0,207.0,801,3.9,33.0,2.0,7.0,33.0,41.0,168.0,5.1,1.0,3.0,15.0,142.9,9.5,63.8,208.9,871.3,5.6,41.0,282.2,0.8,1.0,152.2,60.0
Brian Robinson Jr.,WAS,28.0,187.0,799,4.3,40.0,4.0,8.0,20.0,25.0,159.0,8.0,0.0,2.0,14.0,139.8,10.0,61.2,185.3,776.1,5.3,28.8,241.2,1.8,1.5,141.4,93.0
Kenneth Walker III,SEA,29.0,153.0,573,3.7,28.0,5.0,7.0,46.0,53.0,299.0,6.5,1.0,0.0,11.0,135.2,12.3,79.6,240.9,1005.7,9.0,29.1,224.2,1.0,0.9,181.1,40.0
Tank Bigsby,JAC,31.0,168.0,766,4.6,65.0,4.0,7.0,7.0,12.0,54.0,7.7,0.0,1.0,16.0,122.0,7.6,55.6,101.5,343.1,3.6,9.2,62.8,0.3,2.2,59.4,204.0
Javonte Williams,DAL,32.0,139.0,513,3.7,20.0,1.0,4.0,52.0,70.0,346.0,6.7,0.0,2.0,17.0,105.9,6.2,85.2,204.2,834.3,4.7,41.2,247.1,1.5,0.9,143.5,77.0
Jordan Mason,MIN,33.0,153.0,789,5.2,38.0,9.0,3.0,11.0,14.0,91.0,8.3,0.0,1.0,12.0,104.0,8.7,74.1,100.3,442.0,3.8,10.1,74.0,0.6,0.1,77.7,193.0
