"Rank","Player","REC(Recieving)","TGT(Recieving)","YDS(Recieving)","Y/R(Recieving)","LG(Recieving)","20+(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","G","FPTS","FPTS/G","ROST"
"196","Trenton Irwin (FA)","3","10","15","5.0","6","0","0","0","0","0","0","7","1.5","0.2","0.0%"
"197","Casey Washington (ATL)","1","2","14","14.0","14","0","0","0","0","0","0","2","1.4","0.7","0.0%"
"198","Isaiah Hodgins (SF)","2","2","12","6.0","7","0","0","0","0","0","0","3","1.2","0.4","0.0%"
"199","Javon Baker (NE)","1","4","12","12.0","12","0","0","0","0","0","0","10","1.2","0.1","8.5%"
"200","Trent Taylor (SF)","1","1","11","11.0","11","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"201","Kameron Johnson (TB)","0","1","0","0","0","0","0","2","11","0","0","4","1.1","0.3","0.0%"
"202","Grant DuBose (FA)","2","4","11","5.5","13","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"203","Brandon Johnson (PIT)","1","1","9","9.0","9","0","0","0","0","0","0","3","0.9","0.3","3.5%"
"204","Kendric Pryor (CIN)","1","1","9","9.0","9","0","0","0","0","0","0","2","0.9","0.5","0.0%"
"205","Ramel Keyton (LV)","1","3","7","7.0","7","0","0","0","0","0","0","8","0.7","0.1","0.1%"
"206","John Ross (FA)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","6.0%"
"207","Collin Johnson (FA)","1","2","6","6.0","6","0","0","0","0","0","0","9","0.6","0.1","0.0%"
"208","Isaiah Williams (CIN)","2","3","6","3.0","4","0","0","0","0","0","0","8","0.6","0.1","0.0%"
"209","Jaelon Darden (FA)","1","1","6","6.0","6","0","0","0","0","0","0","11","0.6","0.1","0.0%"
"210","Robbie Chosen (FA)","1","4","5","5.0","5","0","0","0","0","0","0","2","0.5","0.3","0.0%"
"211","Tyler Scott (CHI)","1","1","5","5.0","5","0","0","0","0","0","0","11","0.5","0.0","0.9%"
"212","James Proche II (TEN)","3","3","21","7.0","14","0","0","0","0","0","1","9","0.1","0.0","0.0%"
"213","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Jalen Guyton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Dax Milne (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Miles Boykin (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"217","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","1.0%"
"218","Deonte Harty (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"219","Seth Williams (DAL)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"220","Dez Fitzpatrick (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"221","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","KJ Hamler (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.1%"
"223","Tarik Black (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"224","Justyn Ross (KC)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"225","Rondale Moore (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4%"
"226","Trishton Jackson (ARI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"227","Quez Watkins (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"228","Quintez Cephus (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"229","Easop Winston Jr. (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Marquez Callaway (TB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"231","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"232","Tom Kennedy (DET)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"233","Thayer Thomas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Roman Wilson (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","15.9%"
"235","Travis Hunter (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.1%"
"236","Matthew Golden (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.6%"
"237","Tejhaun Palmer (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"238","Drake Stoops (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Xavier Johnson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Jeshaun Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Dayton Wade (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Brenden Rice (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.7%"
"243","Joshua Cephus (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"244","Tulu Griffin (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
