"Player","Team","REC(Recieving)","YDS(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","FPTS"
"Velus Jones Jr.","NO","1.9","25.0","0.1","2.3","9.7","0.1","0.0","4.4"
"Irvin Charles","NYJ","2.6","29.7","0.2","0.0","0.0","0.0","0.0","4.3"
"Jha'Quan Jackson","TEN","4.0","41.0","0.0","0.0","0.0","0.0","0.0","4.1"
"Tyler Johnson","NYJ","2.1","25.2","0.2","0.0","0.0","0.0","0.0","3.8"
"Kyle Philips","LV","2.8","29.1","0.1","0.0","0.5","0.0","0.0","3.5"
"Montrell Washington","NYG","1.7","21.1","0.2","0.0","0.0","0.0","0.0","3.1"
"Simi Fehoko","ARI","1.7","20.2","0.2","0.0","0.0","0.0","0.0","3.0"
"Seth Williams","DAL","1.8","19.9","0.2","0.0","0.0","0.0","0.0","3.0"
"Cody White","SEA","1.7","19.5","0.2","0.0","0.0","0.0","0.0","3.0"
"Trishton Jackson","ARI","1.7","18.7","0.2","0.0","0.0","0.0","0.0","2.9"
"Kristian Wilkerson","LV","1.5","17.5","0.2","0.0","0.0","0.0","0.0","2.8"
"Marquez Callaway","TB","1.4","17.3","0.2","0.0","0.0","0.0","0.0","2.7"
"DeAndre Carter","CLE","2.0","21.0","0.0","0.0","6.0","0.0","0.0","2.7"
"David Sills","ATL","1.5","16.9","0.1","0.0","0.0","0.0","0.0","2.5"
""
""
